,圖號,圖名,卷片號或數位照片檔名,CloudRate,SecureType,拍攝日期,MinX,MinY,MaxX,MaxY,現有檔名,Roll,camera,Unnamed: 13,Unnamed: 14,Unnamed: 15
22117,95172071,竹社,140912d_31~0120_hr4,20,一般圖,20140912,225027.215,2438924.455,227611.587,2441696.353,95172071_140912d_31~0120_hr4.tif,140912d,DMC,,,
22126,95172072,小路溪,090905_0251_rgbn,0,一般圖,20090905,227470.0,2438775.0,230335.0,2441840.0,95172072_090905_0251_rgbn.tif,090905_,ADS40,,,
22156,95172074,萬里得山,130425d_34~0131_hr4,20,一般圖,20130425,232768.511,2438915.354,235351.514,2441685.974,95172074_130425d_34~0131_hr4.tif,130425d,DMC,,,
22208,95172082,老佛山,130425d_32~0230_hr4,40,一般圖,20130425,227603.718,2436152.996,230188.082,2438924.455,95172082_130425d_32~0230_hr4.tif,130425d,DMC,,,
22262,95172086,出風鼻,140824b_36~0203_hr4,20,一般圖,20140824,237927.243,2436143.405,240509.786,2438913.166,95172086_140824b_36~0203_hr4.tif,140824b,DMC,,,
22315,95172093,新莊,170419_0256_mtbn,20,一般圖,20170419,230181.128,2433381.972,232765.485,2436152.996,95172093_170419_0256_mtbn.tif,170419_,ADS40,,,
22316,95172093,新莊,170922_0803_mtbn,20,一般圖,20170922,230181.128,2433381.972,232765.485,2436152.996,95172093_170922_0803_mtbn.tif,170922_,ADS40,,,
22329,95172094,滿州,130907d_34~0089_hr4,90,一般圖,20130907,232762.463,2433379.366,235346.365,2436149.965,95172094_130907d_34~0089_hr4.tif,130907d,DMC,,,
22383,95173008,和平,201102d_28~0040_hr4,0,一般圖,20201102,217326.277,2458313.724,219908.875,2461086.994,95173008_201102d_28~0040_hr4.tif,201102d,DMC,,,
22484,95173030,家新路社,140519d_30~0007_hr4,90,一般圖,20140519,222471.048,2452768.511,225053.627,2455540.897,95173030_140519d_30~0007_hr4.tif,140519d,DMC,,,
22492,95173030,家新路社,211030d_30~0171_hr4,30,一般圖,20211030,222471.048,2452768.511,225053.627,2455540.897,95173030_211030d_30~0171_hr4.tif,211030d,DMC,,,
22516,95173039,里龍山,180325d_29~0273_hr4,20,一般圖,20180325,219887.559,2450004.776,222471.048,2452777.578,95173039_180325d_29~0273_hr4.tif,180325d,DMC,,,
22555,95173049,楠仔,180325d_29~0277_hr4,10,一般圖,20180325,219882.244,2447236.728,222466.184,2450009.517,95173049_180325d_29~0277_hr4.tif,180325d,DMC,,,
22562,95173050,十五護管橋,100703d_30~0036_hr4,90,一般圖,20100703,222461.324,2447232.415,225044.804,2450004.776,95173050_100703d_30~0036_hr4.tif,100703d,DMC,,,
22568,95173050,十五護管橋,150619d_30~0130_hr4,40,一般圖,20150619,222461.324,2447232.415,225044.804,2450004.776,95173050_150619d_30~0130_hr4.tif,150619d,DMC,,,
22587,95173060,大梅,080901d_30~0008_rgb,10,一般圖,20080901,222320.0,2444320.0,225185.0,2447385.0,95173060_080901d_30~0008_rgb.tif,080901d,DMC,,,
22646,95173070,四重溪,140519d_30~0023_hr4c,10,一般圖,20140519,222451.621,2441696.353,225036.0,2444468.689,95173070_140519d_30~0023_hr4c.tif,140519d,DMC,,,
22760,95173089,茄湖,120413b_29~0073_hr4c,20,一般圖,20120413,219861.043,2436164.622,222446.777,2438937.361,95173089_120413b_29~0073_hr4c.tif,120413b,DMC,,,
22800,95173090,五里亭,220614b_30~0026_hr4c,40,一般圖,20220614,222441.938,2436160.325,225027.215,2438932.636,95173090_220614b_30~0026_hr4c.tif,220614b,DMC,,,
22801,95173090,五里亭,220826b_30~0096_hr4c,10,一般圖,20220826,222441.938,2436160.325,225027.215,2438932.636,95173090_220826b_30~0096_hr4c.tif,220826b,DMC,,,
22808,95173098,下水堀,120413b_28~0007_hr4,10,一般圖,20120413,217274.405,2433401.333,219861.043,2436174.485,95173098_120413b_28~0007_hr4.tif,120413b,DMC,,,
22994,95174006,盆貿里山,170313_0522_mtbn,30,一般圖,20170313,212239.152,2486005.844,214818.147,2488780.113,95174006_170313_0522_mtbn.tif,170313_,ADS40,,,
23047,95174011,竹林,140826b_21~0042_hr4,20,一般圖,20140826,199366.603,2483272.351,201948.39,2486048.783,95174011_140826b_21~0042_hr4.tif,140826b,DMC,,,
23056,95174011,竹林,180902_0247_mtbn,10,一般圖,20180902,199366.603,2483272.351,201948.39,2486048.783,95174011_180902_0247_mtbn.tif,180902_,ADS40,,,
23071,95174012,新埤,130909b_22~0080_hr4,10,一般圖,20130909,201939.771,2483264.558,204521.089,2486040.553,95174012_130909b_22~0080_hr4.tif,130909b,DMC,,,
23164,95174016,保和以山,180325d_26~0185_hr4,90,一般圖,20180325,212232.379,2483237.672,214811.829,2486011.927,95174016_180325d_26~0185_hr4.tif,180325d,DMC,,,
23264,95174023,玉光村,140518b_23~0163_hr4c,30,一般圖,20140518,204504.782,2480489.013,207086.086,2483264.558,95174023_140518b_23~0163_hr4c.tif,140518b,DMC,,,
23285,95174024,玉泉村,100913b_24~0256_hr4c,40,一般圖,20100913,207078.398,2480482.083,209659.235,2483257.193,95174024_100913b_24~0256_hr4c.tif,100913b,DMC,,,
23459,95174034,太原村,140826b_24~0132_hr4c,0,一般圖,20140826,207070.718,2477713.917,209652.008,2480489.013,95174034_140826b_24~0132_hr4c.tif,140826b,DMC,,,
23499,95174036,舊歸崇,100320_0357_mtbn,20,一般圖,20100320,212080.0,2477560.0,214945.0,2480625.0,95174036_100320_0357_mtbn.tif,100320_,ADS40,,,
23516,95174037,力里山(三),210130e_27~0401_hr4,10,一般圖,20210130,214792.914,2477695.714,217372.807,2480469.508,95174037_210130e_27~0401_hr4.tif,210130e,DMC,,,
23626,95174045,內寮,140518b_25~0283_hr4c,30,一般圖,20140518,209637.577,2474939.27,212218.854,2477713.917,95174045_140518b_25~0283_hr4c.tif,140518b,DMC,,,
23647,95174046,三角山,191130_0233_mtbn,10,一般圖,20191130,212212.102,2474933.207,214792.914,2477707.421,95174046_191130_0233_mtbn.tif,191130_,ADS40,,,
23665,95174048,士文村(一),150619e_28~0101_hr4,30,一般圖,20150619,217361.137,2474922.365,219941.019,2477695.714,95174048_150619e_28~0101_hr4.tif,150619e,DMC,,,
23747,95174056,舊古華,220302d_26~0019_hr4,10,一般圖,20220302,212205.357,2472165.069,214786.622,2474939.27,95174056_220302d_26~0019_hr4.tif,220302d,DMC,,,
23777,95174060,羅馬寺(二),180922_0158_mtbn,90,一般圖,20180922,222505.248,2472145.114,225084.657,2474917.586,95174060_180922_0158_mtbn.tif,180922_,ADS40,,,
23779,95174060,羅馬寺(二),191115_0208_mtbn,20,一般圖,20191115,222505.248,2472145.114,225084.657,2474917.586,95174060_191115_0208_mtbn.tif,191115_,ADS40,,,
23831,95174065,嘉祿村,210312b_25~0007_hr4,20,一般圖,20210312,209623.176,2469402.992,212205.357,2472177.611,95174065_210312b_25~0007_hr4.tif,210312b,DMC,,,
23858,95174068,草山(一),151213e_28~0128_hr4,20,一般圖,20151213,217349.492,2469386.117,219930.281,2472159.44,95174068_151213e_28~0128_hr4.tif,151213e,DMC,,,
24032,95174098,竹坑山,150619d_28~0097_hr4,0,一般圖,20150619,217332.071,2461081.809,219914.218,2463855.092,95174098_150619d_28~0097_hr4.tif,150619d,DMC,,,
24093,95181004,出雲山(一),180513_0407_mtbn,20,一般圖,20180513,232882.767,2541337.288,235448.762,2544108.311,95181004_180513_0407_mtbn.tif,180513_,ADS40,,,
24355,95181038,麻天九留(二),170305_0226_mtbn,0,一般圖,20170305,243132.242,2533025.961,245697.754,2535795.203,95181038_170305_0226_mtbn.tif,170305_,ADS40,,,
24365,95181039,嘉代山(三),170415_0239_mtbn,30,一般圖,20170415,245696.965,2533025.449,248262.007,2535794.254,95181039_170415_0239_mtbn.tif,170415_,ADS40,,,
24374,95181040,嘉代山(二),190108g_40~0107_hr4,40,一般圖,20190108,248261.688,2533025.371,250826.411,2535793.741,95181040_190108g_40~0107_hr4.tif,190108g,DMC,,,
24401,95181043,歡喜山(四),180805_0240_mtbn,90,一般圖,20180805,230304.999,2530266.765,232873.337,2533038.182,95181043_180805_0240_mtbn.tif,180805_,ADS40,,,
24723,95181087,烏爾托博哈山(四),170305_0253_mtbn,40,一般圖,20170305,240558.898,2519185.572,243127.219,2521955.201,95181087_170305_0253_mtbn.tif,170305_,ADS40,,,
24726,95181088,烏爾托博哈山(一),130310f_38~0616_hr4,0,一般圖,20130310,243125.966,2519184.628,245693.818,2521953.822,95181088_130310f_38~0616_hr4.tif,130310f,DMC,,,
24937,95182021,霧頭山(四),170404_0213_mtbn,0,一般圖,20170404,225138.389,2508127.378,227711.379,2510899.575,95182021_170404_0213_mtbn.tif,170404_,ADS40,,,
24971,95182027,中之山(四),130930e_37~0124_hr4,90,一般圖,20130930,240552.034,2508112.658,243122.216,2510882.248,95182027_130930e_37~0124_hr4.tif,130930e,DMC,,,
24989,95182029,知本森林遊樂區(四),090319e_39~0100_rgb,20,一般圖,20090319,245545.0,2507965.0,248410.0,2511030.0,95182029_090319e_39~0100_rgb.tif,090319e,DMC,,,
25155,95182049,太麻里山,160713e_39~0046_hr4,20,一般圖,20160713,245688.341,2502574.806,248258.519,2505343.511,95182049_160713e_39~0046_hr4.tif,160713e,DMC,,,
25221,95182057,規那山(三),160715e_37~0055_hr4,10,一般圖,20160715,240546.905,2499808.063,243118.477,2502577.624,95182057_160715e_37~0055_hr4.tif,160715e,DMC,,,
25247,95182060,太麻里,090812_0155_rgbn,0,一般圖,20090812,248110.0,2499660.0,250975.0,2502725.0,95182060_090812_0155_rgbn.tif,090812_,ADS40,,,
25335,95182071,杷宇森山(三),090828_0134_rgbn,10,一般圖,20090828,224975.0,2494140.0,227840.0,2497205.0,95182071_090828_0134_rgbn.tif,090828_,ADS40,,,
25342,95182071,杷宇森山(三),210103g_31~0004_hr4,40,一般圖,20210103,225115.918,2494286.366,227691.209,2497058.503,95182071_210103g_31~0004_hr4.tif,210103g,DMC,,,
25367,95182075,卡里斯,150726_0301_mtbn,30,一般圖,20150726,235400.978,2494274.874,237974.405,2497045.279,95182075_150726_0301_mtbn.tif,150726_,ADS40,,,
25398,95182079,太武窟,131201d_39~0046_hr4,40,一般圖,20131201,245686.006,2494270.266,248257.575,2497038.945,95182079_131201d_39~0046_hr4.tif,131201d,DMC,,,
25408,95182080,舊漁場,131201d_40~0011_hr4,0,一般圖,20131201,248257.261,2494270.19,250828.515,2497038.437,95182080_131201d_40~0011_hr4.tif,131201d,DMC,,,
25457,95182087,歷坵,130908e_37~0043_hr4,40,一般圖,20130908,240541.792,2491503.546,243114.751,2494273.077,95182087_130908e_37~0043_hr4.tif,130908e,DMC,,,
25461,95182087,歷坵,160715e_37~0043_hr4,10,一般圖,20160715,240541.792,2491503.546,243114.751,2494273.077,95182087_160715e_37~0043_hr4.tif,160715e,DMC,,,
25537,95182098,上多良,091205d_38~0186_rgb,40,一般圖,20091205,242965.0,2488585.0,245830.0,2491650.0,95182098_091205d_38~0186_rgb.tif,091205d,DMC,,,
25597,95183003,新圍,110911_0250_mtbn,0,一般圖,20110911,204603.142,2513707.742,207178.979,2516483.467,95183003_110911_0250_mtbn.tif,110911_,ADS40,,,
25598,95183003,新圍,120414b_23~0330_hr4,40,一般圖,20120414,204603.142,2513707.742,207178.979,2516483.467,95183003_120414b_23~0330_hr4.tif,120414b,DMC,,,
25836,95183020,霧台(二),180922_0146_mtbn,90,一般圖,20180922,222574.413,2510899.575,225147.411,2513672.221,95183020_180922_0146_mtbn.tif,180922_,ADS40,,,
25863,95183022,德協,140518b_22~0247_hr4,20,一般圖,20140518,202017.673,2508178.624,204594.898,2510954.758,95183022_140518b_22~0247_hr4.tif,140518b,DMC,,,
26085,95183036,笠頂山,201119d_26~0151_hr4,10,一般圖,20201119,212286.766,2505383.287,214862.564,2508157.653,95183036_201119d_26~0151_hr4.tif,201119d,DMC,,,
26087,95183036,笠頂山,220302d_26~0067_hr4,10,一般圖,20220302,212286.766,2505383.287,214862.564,2508157.653,95183036_220302d_26~0067_hr4.tif,220302d,DMC,,,
26096,95183037,瑪家(三),191109_0234_mtbn,40,一般圖,20191109,214856.199,2505377.597,217431.526,2508151.527,95183037_191109_0234_mtbn.tif,191109_,ADS40,,,
26225,95183045,筏灣村,170924_0209_mtbn,30,一般圖,20170924,209710.04,2502621.17,212286.766,2505395.96,95183045_170924_0209_mtbn.tif,170924_,ADS40,,,
26237,95183046,萬安村,201119d_26~0155_hr4,0,一般圖,20201119,212279.942,2502615.055,214856.199,2505389.407,95183046_201119d_26~0155_hr4.tif,201119d,DMC,,,
26255,95183048,萬安社舊社(一),150619e_28~0061_hr4,20,一般圖,20150619,217419.733,2502604.118,219995.05,2505377.597,95183048_150619e_28~0061_hr4.tif,150619e,DMC,,,
26260,95183049,平和社舊社(四),090824_0116_rgbn,10,一般圖,20090824,219845.0,2502455.0,222710.0,2505520.0,95183049_090824_0116_rgbn.tif,090824_,ADS40,,,
26299,95183052,老北勢,120902b_22~0317_hr4,0,一般圖,20120902,201991.623,2499873.858,204570.217,2502649.946,95183052_120902b_22~0317_hr4.tif,120902b,DMC,,,
26396,95183057,萬安社舊社(三),191109_0234_mtbn,20,一般圖,20191109,214843.488,2499841.152,217419.733,2502615.055,95183057_191109_0234_mtbn.tif,191109_,ADS40,,,
26400,95183058,萬安社舊社(二),130305e_28~0131_hr4,40,一般圖,20130305,217413.845,2499835.904,219989.621,2502609.37,95183058_130305e_28~0131_hr4.tif,130305e,DMC,,,
26455,95183062,竹田,180409_0345_mtbn,10,一般圖,20180409,201982.958,2497105.62,204562.008,2499881.693,95183062_180409_0345_mtbn.tif,180409_,ADS40,,,
26596,95183072,潮州,130416b_22~0151_hr4,20,一般圖,20130416,201974.303,2494337.391,204553.807,2497113.448,95183072_130416b_22~0151_hr4.tif,130416b,DMC,,,
26618,95183073,四春里,110911_0250_mtbn,10,一般圖,20110911,204545.615,2494330.0,207124.649,2497105.62,95183073_110911_0250_mtbn.tif,110911_,ADS40,,,
26681,95183076,瓦魯斯溪,091205d_26~0076_rgb,20,一般圖,20091205,212120.0,2494165.0,214985.0,2497230.0,95183076_091205d_26~0076_rgb.tif,091205d,DMC,,,
26683,95183076,瓦魯斯溪,150509d_26~0394_hr4,20,一般圖,20150509,212259.515,2494310.411,214837.143,2497084.722,95183076_150509d_26~0394_hr4.tif,150509d,DMC,,,
26717,95183080,南大武山(二),090223_0439_rgbn,30,一般圖,20090223,222400.0,2494145.0,225265.0,2497210.0,95183080_090223_0439_rgbn.tif,090223_,ADS40,,,
26759,95183082,光春里,150919b_22~0085_hr4c,40,一般圖,20150919,201965.656,2491569.17,204545.615,2494345.211,95183082_150919b_22~0085_hr4c.tif,150919b,DMC,,,
26828,95183085,新置,140518b_25~0307_hr4,10,一般圖,20140518,209680.963,2491548.307,212259.515,2494323.04,95183085_140518b_25~0307_hr4.tif,140518b,DMC,,,
26835,95183085,新置,180902_0314_mtbn,40,一般圖,20180902,209680.963,2491548.307,212259.515,2494323.04,95183085_180902_0314_mtbn.tif,180902_,ADS40,,,
26850,95183086,古樓村,220302d_26~0047_hr4,10,一般圖,20220302,212252.72,2491542.213,214830.804,2494316.51,95183086_220302d_26~0047_hr4.tif,220302d,DMC,,,
26942,95183093,九塊厝,140826b_23~0071_hr4c,0,一般圖,20140826,204529.256,2488793.58,207109.2,2491569.17,95183093_140826b_23~0071_hr4c.tif,140826b,DMC,,,
26970,95183094,萬隆村,170924_0228_mtbn,40,一般圖,20170924,207101.487,2488786.632,209680.963,2491561.786,95183094_170924_0228_mtbn.tif,170924_,ADS40,,,
26996,95183095,萬隆農場,210312b_25~0035_hr4,20,一般圖,20210312,209673.713,2488780.113,212252.72,2491554.832,95183095_210312b_25~0035_hr4.tif,210312b,DMC,,,
27042,95184001,頭板坑,090816_0315c,10,一般圖,20090816,199559.317,2541406.398,202131.5,2544183.16,95184001_090816_0315_rgbnc.tif,090816_,ADS40,,,
27057,95184001,頭板坑,191110_0245_mtbnc,10,一般圖,20191110,199559.317,2541406.398,202131.5,2544183.16,95184001_191110_0245_mtbnc.tif,191110_,ADS40,,,
27228,95184014,出火坪,220827d_24~0276_hr4,0,一般圖,20220827,207241.558,2538615.546,209812.772,2541390.963,95184014_220827d_24~0276_hr4.tif,220827d,DMC,,,
27266,95184018,扇平(二),090821_0123_rgbn,10,一般圖,20090821,217350.0,2538450.0,220215.0,2541515.0,95184018_090821_0123_rgbn.tif,090821_,ADS40,,,
27272,95184018,扇平(二),210130e_28~0313_hr4,20,一般圖,20210130,217496.832,2538591.682,220066.142,2541365.333,95184018_210130e_28~0313_hr4.tif,210130e,DMC,,,
27373,95184026,新興村,130803_0253_mtbn,90,一般圖,20130803,212362.296,2535834.406,214933.021,2538608.926,95184026_130803_0253_mtbn.tif,130803_,ADS40,,,
27666,95184049,石南山(四),130305e_29~0260_hr4,40,一般圖,20130305,220044.165,2530281.867,222614.395,2533055.039,95184049_130305e_29~0260_hr4.tif,130305e,DMC,,,
27828,95184061,吉洋,190908_0222_mtbn,40,一般圖,20190908,199503.824,2524796.283,202078.773,2527572.951,95184061_190908_0222_mtbn.tif,190908_,ADS40,,,
27850,95184063,東振新堤防,080906b_23~0016_rgb,10,一般圖,20080906,204490.0,2524640.0,207355.0,2527705.0,95184063_080906b_23~0016_rgb.tif,080906b,DMC,,,
27856,95184063,東振新堤防,120414b_23~0346_hr4,90,一般圖,20120414,204636.204,2524780.927,207210.204,2527556.712,95184063_120414b_23~0346_hr4.tif,120414b,DMC,,,
27912,95184066,青葉,160626d_26~0032_hr4,90,一般圖,20160626,212334.73,2524761.151,214907.307,2527535.615,95184066_160626d_26~0032_hr4.tif,160626d,DMC,,,
27974,95184072,定遠三村,140821b_22~0223_hr4,20,一般圖,20140821,202061.271,2522020.073,204636.204,2524796.283,95184072_140821b_22~0223_hr4.tif,140821b,DMC,,,
28042,95184076,青山村,091205d_26~0036_rgb,30,一般圖,20091205,212180.0,2521850.0,215045.0,2524915.0,95184076_091205d_26~0036_rgb.tif,091205d,DMC,,,
28043,95184076,青山村,091222d_26_0091_rgb,0,一般圖,20091222,212180.0,2521850.0,215045.0,2524915.0,95184076_091222d_26_0091_rgb.tif,091222d,DMC,,,
28126,95184083,新南村,140518b_23~0110_hr4,10,一般圖,20140518,204619.656,2519244.318,207194.575,2522020.073,95184083_140518b_23~0110_hr4.tif,140518b,DMC,,,
28266,95184093,鹽埔,170924_0247_mtbn,10,一般圖,20170924,204611.395,2516476.026,207186.773,2519251.766,95184093_170924_0247_mtbn.tif,170924_,ADS40,,,
28352,95184100,佳暮(二),210228f_30~0223_hr4,10,一般圖,20210228,222584.377,2516436.064,225156.451,2519208.735,95184100_210228f_30~0223_hr4.tif,210228f,DMC,,,
28381,95191003,自忠,120603g_33~0092_hr4,90,一般圖,20120603,230392.588,2596708.184,232949.596,2599479.875,95191003_120603g_33~0092_hr4.tif,120603g,DMC,,,
28439,95191010,八通關,150613h_40~0124_hr4,10,一般圖,20150613,248269.102,2596698.311,250822.886,2599466.884,95191010_150613h_40~0124_hr4.tif,150613h,DMC,,,
28454,95191011,特富野(三),180719_0208_mtbn,10,一般圖,20180719,225280.341,2593946.5,227838.793,2596719.073,95191011_180719_0208_mtbn.tif,180719_,ADS40,,,
28472,95191013,自忠山(三),120603g_33~0096_hr4,90,一般圖,20120603,230388.896,2593939.69,232946.381,2596711.37,95191013_120603g_33~0096_hr4.tif,120603g,DMC,,,
28541,95191021,曾文溪上游(四),120603f_31~0048_hr4,20,一般圖,20120603,225275.691,2591178.01,227834.62,2593950.571,95191021_120603f_31~0048_hr4.tif,120603f,DMC,,,
28571,95191023,霞山(四),180805_0314_mtbn,90,一般圖,20180805,230385.207,2591171.205,232943.17,2593942.873,95191023_180805_0314_mtbn.tif,180805_,ADS40,,,
28729,95191038,南玉山(二),191215_0339_mtbn,0,一般圖,20191215,243157.673,2588393.481,245713.705,2591162.914,95191038_191215_0339_mtbn.tif,191215_,ADS40,,,
28764,95191042,塔乃庫山(一),120603g_32~0024_hr4,30,一般圖,20120603,227822.125,2585637.438,230381.522,2588409.528,95191042_120603g_32~0024_hr4.tif,120603g,DMC,,,
28866,95191052,塔乃庫山(二),090820_0349_rgbn,10,一般圖,20090820,227665.0,2582725.0,230530.0,2585790.0,95191052_090820_0349_rgbn.tif,090820_,ADS40,,,
29007,95191065,荖濃山(四),120626g_35~0113_hr4,40,一般圖,20120626,235483.829,2580092.339,238042.734,2582863.073,95191065_120626g_35~0113_hr4.tif,120626g,DMC,,,
29095,95191074,五溪山(二),151003f_34~0099_hr4,10,一般圖,20151003,232923.968,2577326.188,235483.829,2580097.354,95191074_151003f_34~0099_hr4.tif,151003f,DMC,,,
29127,95191077,拉庫音溪(三),130316g_37~0062_hr4,0,一般圖,20130316,240595.403,2577320.656,243153.825,2580090.494,95191077_130316g_37~0062_hr4.tif,130316g,DMC,,,
29247,95191089,埡口(四),150613h_39~0164_hr4,20,一般圖,20150613,245708.885,2574550.752,248266.827,2577319.695,95191089_150613h_39~0164_hr4.tif,150613h,DMC,,,
29521,95192015,鐵本山(三),090824_0242_rgbn,10,一般圖,20090824,235320.0,2566105.0,238185.0,2569170.0,95192015_090824_0242_rgbn.tif,090824_,ADS40,,,
29600,95192023,斯拉巴庫山(四),150704g_33~0004_hr4,40,一般圖,20150704,230348.525,2563486.843,232911.233,2566258.396,95192023_150704g_33~0004_hr4.tif,150704g,DMC,,,
29739,95192038,世場山(二),150613h_38~0231_hr4,90,一般圖,20150613,243144.893,2560709.282,245705.689,2563478.619,95192038_150613h_38~0231_hr4.tif,150613h,DMC,,,
29797,95192044,戶比屋山(一),120626g_34~0078_hr4,20,一般圖,20120626,232901.715,2557947.365,235464.889,2560718.455,95192044_120626g_34~0078_hr4.tif,120626g,DMC,,,
29816,95192046,雲水山(一),210127h_36~0035_hr4,10,一般圖,20210127,238022.671,2557943.26,240584.893,2560713.468,95192046_210127h_36~0035_hr4.tif,210127h,DMC,,,
29881,95192053,戶比屋山(三),190125g_33~0225_hr4,0,一般圖,20190125,230337.593,2555181.705,232901.715,2557953.225,95192053_190125g_33~0225_hr4.tif,190125g,DMC,,,
29924,95192058,屯古嶺(二),181208_0230_mtbn,10,一般圖,20181208,243142.352,2555172.548,245704.095,2557941.866,95192058_181208_0230_mtbn.tif,181208_,ADS40,,,
30146,95192084,東來山(一),171210_0309_mtbn,0,一般圖,20171210,232889.07,2546873.945,235454.126,2549644.991,95192084_171210_0309_mtbn.tif,171210_,ADS40,,,
30168,95192086,卑南主山之南(一),181208_0304_mtbn,90,一般圖,20181208,238013.814,2546869.854,240577.921,2549640.021,95192086_181208_0304_mtbn.tif,181208_,ADS40,,,
30188,95192089,白松山(四),160713g_39~0045_hr4,40,一般圖,20160713,245700.918,2546866.998,248263.605,2549635.849,95192089_160713g_39~0045_hr4.tif,160713g,DMC,,,
30325,95193003,火燒寮,150509d_23~0146_hr4,10,一般圖,20150509,204769.832,2569075.052,207336.401,2571851.078,95193003_150509d_23~0146_hr4.tif,150509d,DMC,,,
30369,95193006,草蘭溪,191109_0259_mtbn,10,一般圖,20191109,212445.679,2569055.008,215010.803,2571829.694,95193006_191109_0259_mtbn.tif,191109_,ADS40,,,
30370,95193006,草蘭溪,210102e_26~0403_hr4,0,一般圖,20210102,212445.679,2569055.008,215010.803,2571829.694,95193006_210102e_26~0403_hr4.tif,210102e,DMC,,,
30453,95193013,水井,150509d_23~0142_hr4,30,一般圖,20150509,204761.415,2566306.604,207328.453,2569082.615,95193013_150509d_23~0142_hr4.tif,150509d,DMC,,,
30542,95193020,甲仙農場(二),090824_0203_rgbn,20,一般圖,20090824,222525.0,2566120.0,225390.0,2569185.0,95193020_090824_0203_rgbn.tif,090824_,ADS40,,,
30628,95193026,西阿里關山,100304_0346_mtbn,90,一般圖,20100304,212285.0,2563375.0,215150.0,2566440.0,95193026_100304_0346_mtbn.tif,100304_,ADS40,,,
30677,95193030,深溝(一),190112f_30~0214_hr4,0,一般圖,20190112,222669.913,2563497.625,225234.056,2566270.507,95193030_190112f_30~0214_hr4.tif,190112f,DMC,,,
30849,95193044,十八灣,140222d_24~0366_hr4,0,一般圖,20140222,207296.741,2557994.214,209864.7,2560769.734,95193044_140222d_24~0366_hr4.tif,140222d,DMC,,,
30878,95193046,大北勢溪,080823e_26_0188_rgb,10,一般圖,20080823,212270.0,2557840.0,215135.0,2560905.0,95193046_080823e_26_0188_rgb.tif,080823e,DMC,,,
30928,95193050,高中(一),151003f_30~0070_hr4,20,一般圖,20151003,222659.772,2557960.84,225224.855,2560733.697,95193050_151003f_30~0070_hr4.tif,151003f,DMC,,,
31028,95193057,寶來(三),130305e_27~0222_hr4,90,一般圖,20130305,214971.792,2555207.161,217538.78,2557981.334,95193057_130305e_27~0222_hr4.tif,130305e,DMC,,,
31151,95193067,荖濃(四),091205e_27~0112_rgb,40,一般圖,20091205,214820.0,2552295.0,217685.0,2555360.0,95193067_091205e_27~0112_rgb.tif,091205e,DMC,,,
31313,95193081,田仔頂,170924_0348_mtbn,30,一般圖,20170924,199577.891,2546943.172,202149.149,2549719.966,95193081_170924_0348_mtbn.tif,170924_,ADS40,,,
31517,95193096,土壟,160626d_26~0004_hr4,90,一般圖,20160626,212383.045,2544139.439,214952.377,2546914.0,95193096_160626d_26~0004_hr4.tif,160626d,DMC,,,
31609,95194005,大湖,090305e_25~0024_rgb,10,一般圖,20090305,209810.0,2596605.0,212675.0,2599670.0,95194005_090305e_25~0024_rgb.tif,090305e,DMC,,,
31616,95194006,茄苳仔,080823e_26_0132_rgb,10,一般圖,20080823,212365.0,2596595.0,215230.0,2599660.0,95194006_080823e_26_0132_rgb.tif,080823e,DMC,,,
31667,95194010,達邦(一),130603f_30~0491_hr4,90,一般圖,20130603,222731.194,2596719.073,225289.654,2599492.106,95194010_130603f_30~0491_hr4.tif,130603f,DMC,,,
31672,95194010,達邦(一),201216f_30~0043_hr4,30,一般圖,20201216,222731.194,2596719.073,225289.654,2599492.106,95194010_201216f_30~0043_hr4.tif,201216f,DMC,,,
31680,95194011,轆子腳,120602a_21~0327_hr4,30,一般圖,20120602,199737.317,2594007.161,202300.626,2596784.222,95194011_120602a_21~0327_hr4.tif,120602a,DMC,,,
31739,95194016,板仔龍,151219e_26~0072_hr4,0,一般圖,20151219,212508.89,2593971.287,215069.767,2596746.099,95194016_151219e_26~0072_hr4.tif,151219e,DMC,,,
31799,95194021,中浦,100306_0248_mtbn,0,一般圖,20100306,199580.0,2591095.0,202445.0,2594160.0,95194021_100306_0248_mtbn.tif,100306_,ADS40,,,
31891,95194027,隙頂(四),210130e_27~0036_hr4,40,一般圖,20210130,215056.617,2591196.936,217617.483,2593971.287,95194027_210130e_27~0036_hr4.tif,210130e,DMC,,,
32084,95194044,大樟腳,130728_0313_mtbn,30,一般圖,20130728,207376.263,2585678.768,209939.529,2588454.435,95194044_130728_0313_mtbn.tif,130728_,ADS40,,,
32095,95194045,大吹,140223e_25~0040_hr4,0,一般圖,20140223,209932.012,2585672.053,212494.793,2588447.272,95194045_140223e_25~0040_hr4.tif,140223e,DMC,,,
32141,95194049,多陽山(四),090815_0152_rgbn,10,一般圖,20090815,220005.0,2585505.0,222870.0,2588570.0,95194049_090815_0152_rgbn.tif,090815_,ADS40,,,
32221,95194056,石壁腳,091205e_26~0238_rgb,10,一般圖,20091205,212330.0,2582755.0,215195.0,2585820.0,95194056_091205e_26~0238_rgb.tif,091205e,DMC,,,
32334,95194065,草山路口,151219e_25~0147_hr4,0,一般圖,20151219,209917.0,2580135.084,212480.725,2582910.273,95194065_151219e_25~0147_hr4.tif,151219e,DMC,,,
